id,slug,name_en,name_bn,hydrological_class,water_body_type,water_body_subtype,district,upazila,latitude,longitude,transboundary_flag,transboundary_countries
BD-WB-0001,arial-beel,Arial Beel,আড়িয়াল বিল,LENTIC,Wetland,Beel,Munshiganj / Dhaka,Sreenagar / Nawabganj,23.6333,90.2500,,
BD-WB-0002,ashurar-beel,Ashurar Beel,আশুড়ার বিল,LENTIC,Wetland,Beel,Dinajpur,Nawabganj,25.4167,89.0167,,
BD-WB-0003,baikka-beel,Baikka Beel,বাইক্কা বিল,LENTIC,Wetland,Beel,Moulvibazar,Sreemangal,24.3583,91.6417,,
BD-WB-0004,beel-dakatia,Beel Dakatia,বিল ডাকাতিয়া,LENTIC,Wetland,Beel,Khulna / Satkhira,Dumuaria / Phultala,22.9000,89.4167,,
BD-WB-0005,chalan-beel,Chalan Beel,চলন বিল,LENTIC,Wetland,Beel,Natore / Sirajganj / Pabna,Singra / Gurudaspur / Chatmohar,24.4167,89.2500,,
BD-WB-0006,dekhar-haor,Dekhar Haor,ডেকহার হাওর,LENTIC,Wetland,Haor,Sunamganj,Sunamganj Sadar,25.0167,91.3667,,
BD-WB-0007,dingapota-haor,Dingapota Haor,ডিঙ্গাপোতা হাওর,LENTIC,Wetland,Haor,Netrokona,Mohanganj,24.8667,90.9667,,
BD-WB-0008,hail-haor,Hail Haor,হাইল হাওর,LENTIC,Wetland,Haor,Moulvibazar,Sreemangal,24.3833,91.6833,,
BD-WB-0009,hakaluki-haor,Hakaluki Haor,হাকালুকি হাওর,LENTIC,Wetland,Haor,Moulvibazar / Sylhet,Kulaura / Juri / Fenchuganj,24.5833,92.0333,,
BD-WB-0010,kawadighi-haor,Kawadighi Haor,কাউয়াদীঘি হাওর,LENTIC,Wetland,Haor,Moulvibazar,Rajnagar,24.5500,91.8333,,
BD-WB-0011,matian-haor,Matian Haor,মাটিয়ান হাওর,LENTIC,Wetland,Haor,Sunamganj,Tahirpur,25.1333,91.1333,,
BD-WB-0012,nikli-haor,Nikli Haor,নিকলী হাওর,LENTIC,Wetland,Haor,Kishoreganj,Nikli,24.3167,90.9333,,
BD-WB-0013,shanir-haor,Shanir Haor,শনির হাওর,LENTIC,Wetland,Haor,Sunamganj,Tahiyapur / Jamalganj,25.1167,91.2000,,
BD-WB-0014,tanguar-haor,Tanguar Haor,টাঙ্গুয়ার হাওর,LENTIC,Wetland,Haor,Sunamganj,Tahirpur / Dharmapasha,25.1500,91.0667,,
BD-WB-0015,baluhar-baor,Baluhar Baor,বালুহর বাঁওড়,LENTIC,Wetland,Baor / Oxbow Lake,Jhenaidah,Kotchandpur,23.4167,89.0167,,
BD-WB-0016,benipur-baor,Benipur Baor,বেনীপুর বাঁওড়,LENTIC,Wetland,Baor / Oxbow Lake,Chuadanga,Jibannagar,23.4500,88.8167,,
BD-WB-0017,bukbhara-baor,Bukbhara Baor,বুকভরা বাঁওড়,LENTIC,Wetland,Baor / Oxbow Lake,Jashore,Jashore Sadar,23.1833,89.1500,,
